timestamp,source_ip,destination_ip,event_type,severity,asset,country,description,severity_score,hour,date,is_external,event_fingerprint,asset_criticality,asset_owner,business_unit,asset_exposure,source_ip_class,destination_ip_class,geo_risk,reputation_score,reputation_label,rule_id,rule_name,rule_description,mitre_tactic,mitre_technique,recommendation,base_score,risk_score,risk_level,risk_factors
2026-05-06 13:01:00+00:00,203.0.113.77,10.0.7.18,phishing,high,mail-gateway,Unknown,Phishing campaign delivered to executives,3,13,2026-05-06,True,203.0.113.77|10.0.7.18|phishing,4,Messaging Team,Infrastructure,internet-facing,private,private,12,22,Suspicious,phishing_campaign,Phishing Campaign,Phishing events can lead to credential theft or malware delivery.,Initial Access,T1566 Phishing,"Quarantine messages, identify clicked users, and rotate credentials where needed.",55,100,Critical,rule=Phishing Campaign +55; severity=high +24; external_source +10; asset_criticality=4 +15; reputation=Suspicious +22
2026-05-06 12:44:00+00:00,172.16.88.2,10.0.6.13,privilege_escalation,high,domain-controller,Internal,Unexpected admin group modification,3,12,2026-05-06,False,172.16.88.2|10.0.6.13|privilege_escalation,5,Identity Team,Infrastructure,restricted,private,private,0,0,Neutral,privilege_drift,Privilege Drift,Unexpected privilege changes are high-impact identity risks.,Privilege Escalation,T1078 Valid Accounts,"Review the account change, revoke unapproved grants, and inspect adjacent identity activity.",65,100,Critical,rule=Privilege Drift +65; severity=high +24; asset_criticality=5 +20
2026-05-06 11:40:00+00:00,203.0.113.90,10.0.5.5,exfiltration,critical,data-warehouse,Unknown,Unusual outbound transfer volume,4,11,2026-05-06,True,203.0.113.90|10.0.5.5|exfiltration,5,Data Platform,Analytics,restricted,private,private,12,22,Suspicious,data_exposure,Data Exposure,Possible data exfiltration needs rapid validation.,Exfiltration,T1041 Exfiltration Over C2 Channel,"Validate transfer destination, suspend suspicious sessions, and check data access logs.",80,100,Critical,rule=Data Exposure +80; severity=critical +32; external_source +10; asset_criticality=5 +20; reputation=Suspicious +22
2026-05-06 09:25:00+00:00,45.155.205.233,10.0.3.8,malware,critical,finance-workstation,Russia,Endpoint quarantined suspicious payload,4,9,2026-05-06,True,45.155.205.233|10.0.3.8|malware,4,Finance IT,Finance,internal,public,private,12,30,Hostile,malware_containment,Malware Containment,Malware events require immediate containment review.,Execution,T1204 User Execution,"Isolate the endpoint, preserve evidence, and verify containment across similar hosts.",70,100,Critical,rule=Malware Containment +70; severity=critical +32; external_source +10; asset_criticality=4 +15; reputation=Hostile +30
2026-05-06 08:21:00+00:00,185.220.101.4,10.0.1.12,login_failure,high,vpn-gateway,Netherlands,Credential stuffing pattern,3,8,2026-05-06,True,185.220.101.4|10.0.1.12|login_failure,5,Security Operations,Infrastructure,internet-facing,public,private,12,30,Hostile,credential_pressure,Credential Pressure,Repeated authentication failures may indicate brute force activity.,Credential Access,T1110 Brute Force,"Review VPN logs, lock affected accounts, enforce MFA, and inspect successful logins from the same source.",35,100,Critical,rule=Credential Pressure +35; severity=high +24; external_source +10; recurrence=3 +16; asset_criticality=5 +20; reputation=Hostile +30
2026-05-06 08:15:00+00:00,185.220.101.4,10.0.1.12,login_failure,medium,vpn-gateway,Netherlands,Repeated failed VPN authentication,2,8,2026-05-06,True,185.220.101.4|10.0.1.12|login_failure,5,Security Operations,Infrastructure,internet-facing,public,private,12,30,Hostile,credential_pressure,Credential Pressure,Repeated authentication failures may indicate brute force activity.,Credential Access,T1110 Brute Force,"Review VPN logs, lock affected accounts, enforce MFA, and inspect successful logins from the same source.",35,100,Critical,rule=Credential Pressure +35; severity=medium +16; external_source +10; recurrence=3 +16; asset_criticality=5 +20; reputation=Hostile +30
2026-05-06 08:10:00+00:00,185.220.101.4,10.0.1.12,login_failure,medium,vpn-gateway,Netherlands,Repeated failed VPN authentication,2,8,2026-05-06,True,185.220.101.4|10.0.1.12|login_failure,5,Security Operations,Infrastructure,internet-facing,public,private,12,30,Hostile,credential_pressure,Credential Pressure,Repeated authentication failures may indicate brute force activity.,Credential Access,T1110 Brute Force,"Review VPN logs, lock affected accounts, enforce MFA, and inspect successful logins from the same source.",35,100,Critical,rule=Credential Pressure +35; severity=medium +16; external_source +10; recurrence=3 +16; asset_criticality=5 +20; reputation=Hostile +30
2026-05-06 09:02:00+00:00,103.27.202.11,10.0.2.44,scan,medium,public-api,Singapore,Port scan against public API host,2,9,2026-05-06,True,103.27.202.11|10.0.2.44|scan,4,Platform Engineering,Digital Products,internet-facing,public,private,0,8,Watched,reconnaissance,Reconnaissance,Scanning activity can precede exploitation attempts.,Reconnaissance,T1595 Active Scanning,"Block noisy sources, confirm exposed services, and review attack surface changes.",30,79,High,rule=Reconnaissance +30; severity=medium +16; external_source +10; asset_criticality=4 +15; reputation=Watched +8
2026-05-06 12:12:00+00:00,192.0.2.14,10.0.2.44,waf_block,medium,public-api,Brazil,Blocked SQL injection signature,2,12,2026-05-06,True,192.0.2.14|10.0.2.44|waf_block,4,Platform Engineering,Digital Products,internet-facing,private,private,0,0,Neutral,web_attack_blocked,Web Attack Blocked,Blocked application attacks still reveal attacker interest.,Initial Access,T1190 Exploit Public-Facing Application,"Review payloads, confirm WAF coverage, and patch exposed application paths.",25,66,Medium,rule=Web Attack Blocked +25; severity=medium +16; external_source +10; asset_criticality=4 +15
2026-05-06 10:03:00+00:00,198.51.100.7,10.0.4.20,policy_violation,low,hr-laptop,United States,Unapproved cloud storage upload,1,10,2026-05-06,True,198.51.100.7|10.0.4.20|policy_violation,3,Corporate IT,Human Resources,internal,private,private,0,0,Neutral,unclassified_signal,Unclassified Signal,No specific rule matched this event.,Unmapped,Unmapped,Review the event and validate surrounding activity.,15,43,Medium,rule=Unclassified Signal +15; severity=low +8; external_source +10; asset_criticality=3 +10
